time,global_anom_mean
"(Timestamp('1864-08-01 00:00:00'), 0.0)",-0.45052597
"(Timestamp('1864-09-01 00:00:00'), 0.0)",-0.51998127
"(Timestamp('1864-10-01 00:00:00'), 0.0)",-0.5563815
"(Timestamp('1864-11-01 00:00:00'), 0.0)",-0.5319982
"(Timestamp('1864-12-01 00:00:00'), 0.0)",-0.5535565
"(Timestamp('1865-01-01 00:00:00'), 0.0)",-0.283785
"(Timestamp('1865-02-01 00:00:00'), 0.0)",-0.6946098
"(Timestamp('1865-03-01 00:00:00'), 0.0)",-0.5335986
"(Timestamp('1865-04-01 00:00:00'), 0.0)",-0.70942694
"(Timestamp('1865-05-01 00:00:00'), 0.0)",-0.57410073
"(Timestamp('1865-06-01 00:00:00'), 0.0)",-0.4110964
"(Timestamp('1865-07-01 00:00:00'), 0.0)",-0.24654949
"(Timestamp('1865-08-01 00:00:00'), 0.0)",-0.25621992
"(Timestamp('1865-09-01 00:00:00'), 0.0)",-0.26304895
"(Timestamp('1865-10-01 00:00:00'), 0.0)",-0.36501354
"(Timestamp('1865-11-01 00:00:00'), 0.0)",-0.27668566
"(Timestamp('1865-12-01 00:00:00'), 0.0)",-0.31856406
"(Timestamp('1866-01-01 00:00:00'), 0.0)",-0.4526497
"(Timestamp('1866-02-01 00:00:00'), 0.0)",-0.37069738
"(Timestamp('1866-03-01 00:00:00'), 0.0)",-0.6231497
"(Timestamp('1866-04-01 00:00:00'), 0.0)",-0.6313196
"(Timestamp('1866-05-01 00:00:00'), 0.0)",-0.5334209
"(Timestamp('1866-06-01 00:00:00'), 0.0)",-0.37402648
"(Timestamp('1866-07-01 00:00:00'), 0.0)",-0.28591877
"(Timestamp('1866-08-01 00:00:00'), 0.0)",-0.44408837
"(Timestamp('1866-09-01 00:00:00'), 0.0)",-0.2835033
"(Timestamp('1866-10-01 00:00:00'), 0.0)",-0.37586722
"(Timestamp('1866-11-01 00:00:00'), 0.0)",-0.3499523
"(Timestamp('1866-12-01 00:00:00'), 0.0)",-0.39656967
"(Timestamp('1867-01-01 00:00:00'), 0.0)",-0.62708
"(Timestamp('1867-02-01 00:00:00'), 0.0)",-0.69852597
"(Timestamp('1867-03-01 00:00:00'), 0.0)",-0.8009337
"(Timestamp('1867-04-01 00:00:00'), 0.0)",-0.78992105
"(Timestamp('1867-05-01 00:00:00'), 0.0)",-0.7802175
"(Timestamp('1867-06-01 00:00:00'), 0.0)",-0.4636806
"(Timestamp('1867-07-01 00:00:00'), 0.0)",-0.4468301
"(Timestamp('1867-08-01 00:00:00'), 0.0)",-0.33909127
"(Timestamp('1867-09-01 00:00:00'), 0.0)",-0.30465388
"(Timestamp('1867-10-01 00:00:00'), 0.0)",-0.3407421
"(Timestamp('1867-11-01 00:00:00'), 0.0)",-0.34905145
"(Timestamp('1867-12-01 00:00:00'), 0.0)",-0.4152105
"(Timestamp('1868-01-01 00:00:00'), 0.0)",-0.6570324
"(Timestamp('1868-02-01 00:00:00'), 0.0)",-0.5394261
"(Timestamp('1868-03-01 00:00:00'), 0.0)",-0.40356192
"(Timestamp('1868-04-01 00:00:00'), 0.0)",-0.45725825
